Date,AGHOL.IS,AKBNK.IS,ALARK.IS,BIOEN.IS,EUPWR.IS,FROTO.IS,KONTR.IS,KUTPO.IS,PETKM.IS,SISE.IS,TUPRS.IS
2021-05-27,22.1121883392334,4.5327467918396,10.133454322814941,,,156.6827850341797,12.623662948608398,44.560001373291016,6.269999980926514,7.549049377441406,12.845808029174805
2021-05-28,22.50046157836914,4.559100151062012,9.935148239135742,,,156.4099884033203,12.604737281799316,40.119998931884766,6.260000228881836,7.6162800788879395,12.951972007751465
2021-05-31,22.074466705322266,4.5678839683532715,9.816163063049316,,,158.1377716064453,12.491181373596191,36.119998931884766,6.179999828338623,7.599832534790039,12.918794631958008
2021-06-01,22.21133041381836,4.664512634277344,9.865739822387695,,,156.5918426513672,13.740299224853516,33.060001373291016,6.230000019073486,7.678282260894775,13.084676742553711
2021-06-02,22.348196029663086,4.629375457763672,9.766587257385254,,,158.68336486816406,14.099894523620605,33.5,6.380000114440918,7.658669948577881,13.469520568847656
2021-06-03,22.348196029663086,4.620591163635254,9.5087890625,,,158.7743377685547,13.702446937561035,33.040000915527344,6.320000171661377,7.874406814575195,13.66857624053955
2021-06-04,22.524168014526367,4.63815975189209,9.419550895690918,,,162.7755126953125,13.257684707641602,32.18000030517578,6.320000171661377,7.913631916046143,13.66857624053955
2021-06-07,22.993419647216797,4.726003646850586,9.558365821838379,,,160.77490234375,13.058961868286133,32.439998626708984,6.260000228881836,8.031306266784668,13.655306816101074
2021-06-08,22.680585861206055,4.743572235107422,9.498873710632324,,,161.04771423339844,12.869702339172363,32.18000030517578,6.260000228881836,8.021500587463379,13.721658706665039
2021-06-09,22.524168014526367,4.78749418258667,9.498873710632324,,,165.04891967773438,13.115739822387695,31.639999389648438,6.199999809265137,7.98227596282959,13.615493774414062
2021-06-10,22.973867416381836,4.848985195159912,9.330312728881836,,,163.2301788330078,13.248222351074219,31.360000610351562,6.210000038146973,8.021500587463379,13.68184757232666
2021-06-11,22.895660400390625,4.840200424194336,9.459212303161621,,,167.68603515625,13.134666442871094,32.18000030517578,6.179999828338623,7.962663173675537,13.761469841003418
2021-06-14,22.387300491333008,4.813847541809082,9.191498756408691,,,162.5936279296875,12.92647933959961,35.380001068115234,5.980000019073486,7.952856540679932,13.801280975341797
2021-06-15,22.44595718383789,4.831416130065918,9.062600135803223,,,159.31993103027344,12.718293190002441,36.0,5.929999828338623,7.943050861358643,13.655306816101074
2021-06-16,22.094018936157227,4.769925117492676,8.913869857788086,,,160.68399047851562,12.330309867858887,35.5,5.849999904632568,7.962663173675537,13.66857624053955
2021-06-17,21.957151412963867,4.620591163635254,8.656070709228516,,,156.5009307861328,13.560501098632812,36.400001525878906,5.800000190734863,7.933244705200195,13.78801155090332
2021-06-18,21.702974319458008,4.620591163635254,8.437934875488281,,,154.86407470703125,13.333389282226562,37.459999084472656,5.679999828338623,7.776344299316406,13.482789993286133
2021-06-21,21.742076873779297,4.655728816986084,8.437934875488281,,,156.04624938964844,12.784534454345703,41.20000076293945,5.579999923706055,7.795957088470459,13.21738052368164
2021-06-22,21.80073356628418,4.71721887588501,8.48751163482666,,,156.9556121826172,12.831850051879883,43.540000915527344,5.599999904632568,7.805763244628906,13.336814880371094
2021-06-23,21.898494720458984,4.690865993499756,8.428019523620605,,,156.13717651367188,13.030572891235352,45.060001373291016,5.489999771118164,7.854794979095459,13.297003746032715
2021-06-24,21.820287704467773,4.734787940979004,8.49742603302002,,,156.5009307861328,13.134666442871094,46.79999923706055,5.440000057220459,7.776344299316406,13.283734321594238
2021-06-25,21.56610679626465,4.690865993499756,8.378442764282227,,,152.135986328125,12.96433162689209,49.439998626708984,5.389999866485596,7.688088893890381,13.05150032043457
2021-06-28,21.35103416442871,4.682081699371338,8.437934875488281,,,151.4084930419922,13.484797477722168,54.349998474121094,5.300000190734863,7.599832534790039,12.792726516723633
2021-06-29,21.272825241088867,4.67329740524292,8.428019523620605,,,155.1368865966797,14.194523811340332,59.75,5.360000133514404,7.590025901794434,12.679926872253418
2021-06-30,21.214168548583984,4.63815975189209,8.358612060546875,,,154.7731475830078,14.345932006835938,57.599998474121094,5.230000019073486,7.491963863372803,12.573763847351074
2021-07-01,21.15550994873047,4.726003646850586,8.765140533447266,,,157.3193359375,14.005264282226562,51.849998474121094,5.289999961853027,7.609638690948486,12.759550094604492
2021-07-02,21.409690856933594,4.682081699371338,9.201414108276367,,,158.4105682373047,13.683521270751953,46.68000030517578,5.230000019073486,7.570413589477539,12.693197250366211
2021-07-05,21.878942489624023,4.778709888458252,9.379889488220215,,,158.22869873046875,13.36177921295166,46.29999923706055,5.289999961853027,7.599832534790039,12.951972007751465
2021-07-06,22.504615783691406,4.71721887588501,9.201414108276367,,,154.6822052001953,13.248222351074219,46.70000076293945,5.230000019073486,7.609638690948486,12.759550094604492
2021-07-07,22.582822799682617,4.726003646850586,9.379889488220215,,,157.86497497558594,13.153592109680176,47.86000061035156,5.360000133514404,7.678282260894775,12.786090850830078
2021-07-08,22.524168014526367,4.67329740524292,9.181583404541016,,,157.22840881347656,12.784534454345703,47.68000030517578,5.340000152587891,7.531188488006592,12.640115737915039
2021-07-09,23.26715087890625,4.67329740524292,9.10226058959961,,,158.5924530029297,12.907553672790527,51.95000076293945,5.440000057220459,7.570413589477539,12.819267272949219
2021-07-12,22.797897338867188,4.646944046020508,9.151836395263672,,,157.04652404785156,12.368163108825684,52.599998474121094,5.289999961853027,7.4527387619018555,12.540587425231934
